car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude
"truck","Toyota Tundra",15.77,62744.0,268,17,3.18,35,2014-02-03,2014-02-03 15:02:04,"","",0,0,,
"truck","Toyota Tundra",13.95,62476.0,221,15.84,3.36,50,2014-01-30,2014-01-30 04:03:47,"","",0,0,,
"truck","Toyota Tundra",0,62255.0,0,16.94,3.36,40,2014-01-21,2014-01-21 06:07:55,"","",0,0,,
"truck","Toyota Tundra",15.76,62255.0,267,16.94,3.36,40,2014-01-21,2014-01-21 06:07:53,"","",0,0,,
"truck","Toyota Tundra",0,61988.0,0,14.5,3.38,40,2014-01-16,2014-01-16 02:09:43,"","",0,0,,
"truck","Toyota Tundra",16.07,61988.0,233,14.5,3.38,40,2014-01-16,2014-01-16 02:09:40,"","",0,0,,
"truck","Toyota Tundra",13.37,61755.0,254,19,3.38,100,2014-01-10,2014-01-10 14:06:34,"","",0,0,,
"truck","Toyota Tundra",15.24,61501.0,283,18.57,3.4,35,2013-12-31,2013-12-31 14:22:12,"","",0,0,,
"truck","Toyota Tundra",17.01,61218.0,254,14.93,3.2,35,2013-12-23,2013-12-23 05:03:14,"","",0,0,,
"truck","Toyota Tundra",15.2,60964.0,250,16.45,3.26,50,2013-12-19,2013-12-19 05:44:34,"","",0,0,,
"truck","Toyota Tundra",14.05,60714.0,228,16.23,3.28,65,2013-12-13,2013-12-19 05:39:23,"","",0,0,,
"truck","Toyota Tundra",16.04,60486.0,279,17.39,3.17,30,2013-12-07,2013-12-07 10:41:55,"","",0,0,,
"truck","Toyota Tundra",15.6,60207.0,245,15.71,3.17,50,2013-12-04,2013-12-04 05:50:15,"","",0,0,,
"truck","Toyota Tundra",16.48,59962.0,294,17.84,3.2,20,2013-11-25,2013-11-25 06:02:30,"","",0,0,,
"truck","Toyota Tundra",17.28,59668.0,267,15.45,3.23,30,2013-11-19,2013-11-19 14:58:29,"","",0,0,,
"truck","Toyota Tundra",15.54,59401.0,264,16.99,3.28,40,2013-11-14,2013-11-13 20:53:55,"","",0,0,,
"truck","Toyota Tundra",17.51,59137.0,340,19.42,3.35,35,2013-11-04,2013-11-04 14:32:38,"","",0,0,,
"truck","Toyota Tundra",16.85,58797.0,341,20.24,3.39,30,2013-10-26,2013-10-26 12:12:48,"","",0,0,,
"truck","Toyota Tundra",17.28,58456.0,301,17.42,3.38,35,2013-10-09,2013-10-09 08:55:40,"","",0,0,,
"truck","Toyota Tundra",17.6,58155.0,335,19.04,3.46,35,2013-09-29,2013-09-29 15:46:24,"","",0,0,,
"truck","Toyota Tundra",17.68,57820.0,255,14.42,3.38,25,2013-09-23,2013-09-23 05:41:35,"","",0,0,,
"truck","Toyota Tundra",17.46,57565.0,311,17.81,3.6,30,2013-09-17,2013-09-17 04:49:09,"","",0,0,,
"truck","Toyota Tundra",18.25,57254.0,286,15.67,3.58,25,2013-09-10,2013-09-10 05:06:09,"","",0,0,,
"truck","Toyota Tundra",18.92,56968.0,258,13.64,3.8,25,2013-09-05,2013-09-05 05:03:38,"","",0,0,,
"truck","Toyota Tundra",18.75,56710.0,353,18.83,3.8,25,2013-08-30,2013-08-30 08:08:18,"","",0,0,,
"truck","Toyota Tundra",17.95,56357.0,330,18.39,3.66,30,2013-08-25,2013-08-25 12:27:11,"","",0,0,,
"truck","Toyota Tundra",17.82,56027.0,338,18.97,3.6,50,2013-08-23,2013-08-23 05:36:02,"","",0,0,,
"truck","Toyota Tundra",17.21,55689.0,353,20.51,3.7,60,2013-08-12,2013-08-12 06:15:20,"","",0,0,,
"truck","Toyota Tundra",18.19,55336.0,365,20.07,3.9,50,2013-07-30,2013-07-30 15:16:04,"","",0,0,,
"truck","Toyota Tundra",17.24,54971.0,299,17.34,3.95,45,2013-07-25,2013-07-24 17:58:00,"","",0,0,,
"truck","Toyota Tundra",18.49,54672.0,287,15.52,4.16,60,2013-07-19,2013-07-19 08:54:07,"","",0,0,,
"truck","Toyota Tundra",17.27,54385.0,320,18.53,3.8,95,2013-07-01,2013-07-01 21:39:06,"","",0,0,,
"truck","Toyota Tundra",17.89,54065.0,340,19.01,4,100,2013-06-20,2013-06-20 14:44:04,"","",0,0,,
"truck","Toyota Tundra",17.2,53725.0,348,20.23,4.3,60,2013-06-09,2013-06-09 08:39:34,"","",0,0,,
"truck","Toyota Tundra",17.49,53377.0,357,20.41,3.95,65,2013-05-28,2013-05-28 14:59:18,"","",0,0,,
"truck","Toyota Tundra",15.76,53020.0,319,20.24,4.04,90,2013-05-19,2013-05-19 08:52:29,"","",0,0,,
"truck","Toyota Tundra",17.67,52701.0,342,19.35,4.06,50,2013-05-10,2013-05-10 05:33:33,"","",0,0,,
"truck","Toyota Tundra",16.87,52359.0,325,19.26,4.1,80,2013-05-03,2013-05-03 08:44:58,"","",0,0,,
"truck","Toyota Tundra",17.2,52034.0,251,14.59,3.88,50,2013-04-23,2013-04-23 04:43:31,"","",0,0,,
"truck","Toyota Tundra",16.02,51783.0,302,18.85,3.7,90,2013-04-18,2013-04-18 21:13:27,"","",0,0,,
"truck","Toyota Tundra",15.93,51481.0,290,18.21,3.78,100,2013-04-08,2013-04-08 14:51:23,"","",0,0,,
"truck","Toyota Tundra",17.27,51191.0,331,19.17,3.88,35,2013-04-01,2013-04-01 14:51:14,"","",0,0,,
"truck","Toyota Tundra",15.1,50860.0,324,21.46,3.88,90,2013-03-28,2013-03-27 16:01:16,"","",0,0,,
"truck","Toyota Tundra",16.05,50536.0,284,17.69,3.86,25,2013-03-15,2013-03-15 08:28:53,"","",0,0,,
"truck","Toyota Tundra",0,50252.0,0,19.67,3.67,85,2013-03-11,2013-03-11 15:11:50,"","",0,0,,
